Dr No,Area ID,Area Name,Crm Cd,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Crm Cd Desc,Cross Street,Date Occ,Date Rp Td,Latitude,Location,Location 1,Longitude,Mo Codes,Neighborhood,Neighborhood Council,Prem Is Cd,Prem Is Desc,Rpt Dist No,Status,Status Desc,Time Occ,Tract,Vict Age,Vict Descent,Vict Sex,Weapon Desc,Weapon Used Cd,Zip Code
181412648,,Pacific,624,624,946,,,BATTERY - SIMPLE ASSAULT,,2018-05-18T00:00:00.000-07:00,2018-05-18T00:00:00.000-07:00,34.0111,12000 VENICE BL,0101000020E61000000F0BB5A6799B5DC0287E8CB96B014140,-118.4293,0400 0416 0903 1601 2055 1514,mar-vista,67,210,RESTAURANT/FAST FOOD,1435,IC ,Invest Cont,2010,271902,21,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90066
191811846,,Southeast,624,624,,,,BATTERY - SIMPLE ASSAULT,SPRING ST,2019-05-07T00:00:00.000-07:00,2019-05-09T00:00:00.000-07:00,33.9383,108TH ST,0101000020E6100000EFC9C342AD915DC01CEBE2361AF84040,-118.2762,0416 0447 0216 2036 0903 2058 1536,broadway-manchester,87,102,SIDEWALK,1832,IC ,Invest Cont,1830,241120,57,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,90061
180612493,,Hollywood,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",WILLOUGHBY AV,2018-05-21T00:00:00.000-07:00,2018-05-21T00:00:00.000-07:00,34.0871,COLE AV,0101000020E6100000D3BCE3141D955DC0A5BDC117260B4140,-118.3299,2035 1300 0421 0903 2053 1528,hollywood,32,101,STREET,676,IC ,Invest Cont,1337,191820,27,H,M,VEHICLE,307,90038
191112372,,Northeast,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-06-20T00:00:00.000-07:00,2019-06-21T00:00:00.000-07:00,34.0937,1700 GRIFFITH PARK BL,0101000020E61000002041F163CC915DC04ED1915CFE0B4140,-118.2781,0903 0329,silver-lake,38,501,SINGLE FAMILY DWELLING,1171,IC ,Invest Cont,2100,195400,44,H,M,,,90026
181711512,,Devonshire,740,740,946,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-06-01T00:00:00.000-07:00,2018-06-04T00:00:00.000-07:00,34.2738,11200 GOTHIC AV,0101000020E610000088635DDC469F5DC089D2DEE00B234140,-118.4887,0329 0311 0903 2053 1528,granada-hills,4,721,HIGH SCHOOL,1717,IC ,Invest Cont,0001,106646,0,X,X,,,91344
181700741,,Devonshire,624,624,946,,,BATTERY - SIMPLE ASSAULT,GOTHIC AV,2018-06-01T00:00:00.000-07:00,2018-06-01T00:00:00.000-07:00,34.2761,SAN FERNANDO BL,0101000020E6100000BADA8AFD659F5DC07A36AB3E57234140,-118.4906,0903 0340 0416 0429 0417 2035 2036 0342 2055 1520,granada-hills,4,102,SIDEWALK,1717,IC ,Invest Cont,1330,106646,57,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91344
180511401,,Harbor,901,901,946,,,VIOLATION OF RESTRAINING ORDER,,2018-06-03T00:00:00.000-07:00,2018-06-03T00:00:00.000-07:00,33.7933,1500 FIGUEROA ST,0101000020E610000099BB96900F925DC05AF5B9DA8AE54040,-118.2822,0903 1236 1309 2053 1527,wilmington,93,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),514,AA ,Adult Arrest,1205,294301,0,X,X,,,90744
180314235,,Southwest,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-06-05T00:00:00.000-07:00,2018-06-06T00:00:00.000-07:00,34.0074,4100 S FIGUEROA ST,0101000020E61000000AD7A3703D925DC0C5FEB27BF2004140,-118.285,0329 0311 0319 0903 2055 1516,vermont-square,109,104,DRIVEWAY,398,IC ,Invest Cont,1700,231720,0,X,X,,,90037
180811523,,West LA,740,740,903,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-06-07T00:00:00.000-07:00,2018-06-08T00:00:00.000-07:00,34.0439,2200 WESTWOOD BL,0101000020E6100000BA6B09F9A09B5DC0AF25E4839E054140,-118.4317,1202 0311 0903 2053 1528,west-los-angeles,62,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",884,IC ,Invest Cont,1700,267800,68,O,F,,,90064
190113884,,Central,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-05-18T00:00:00.000-07:00,2019-05-18T00:00:00.000-07:00,34.0509,600 S FIGUEROA ST,0101000020E6100000068195438B905DC0E6AE25E483064140,-118.2585,1218 0910 0447 0416 0903 2055 1520 1822,downtown,52,903,MTA - RED LINE - 7TH AND METRO CENTER,152,IC ,Invest Cont,0825,207710,50,W,M,BOTTLE,212,90071
181012220,,West Valley,956,956,,,,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",,2018-06-16T00:00:00.000-07:00,2018-06-26T00:00:00.000-07:00,34.1772,18700 HATTERAS ST,0101000020E61000009F3C2CD49AA25DC0F46C567DAE164140,-118.5407,1907 0903 1906 2055 1514,tarzana,17,501,SINGLE FAMILY DWELLING,1041,IC ,Invest Cont,2058,139302,50,B,M,VERBAL THREAT,511,91356
180712156,,Wilshire,230,230,998,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",LA CIENEGA BL,2018-06-18T00:00:00.000-07:00,2018-06-18T00:00:00.000-07:00,34.0734,3RD,0101000020E61000006ABC749318985DC061C3D32B65094140,-118.3765,2004 0903 0400 0416 1402 1414 2055 1516,beverly-grove,58,102,SIDEWALK,721,AA ,Adult Arrest,1400,214902,21,H,F,UNKNOWN WEAPON/OTHER WEAPON,500,90048
181513441,,N Hollywood,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-06-26T00:00:00.000-07:00,2018-06-26T00:00:00.000-07:00,34.1533,12800 MILBANK ST,0101000020E610000027C286A7579A5DC0083D9B559F134140,-118.4116,0903 0447 2004 1414 1310 0319 0345 0416 2055 1516,studio-city,27,104,DRIVEWAY,1562,IC ,Invest Cont,1010,143400,44,H,M,ROCK/THROWN OBJECT,306,91604
181500988,,N Hollywood,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-06-29T00:00:00.000-07:00,2018-07-05T00:00:00.000-07:00,34.1451,4300 COLFAX AV,0101000020E6100000CDCCCCCCCC985DC0265305A392124140,-118.3875,0421 0903 0554,studio-city,27,501,SINGLE FAMILY DWELLING,1583,AO ,Adult Other,1750,143602,50,W,M,VERBAL THREAT,511,91604
190900662,,Van Nuys,624,624,946,,,BATTERY - SIMPLE ASSAULT,VAN NUYS BL,2019-05-27T00:00:00.000-07:00,2019-05-27T00:00:00.000-07:00,34.1513,VENTURA BL,0101000020E61000000D71AC8BDB9C5DC041F163CC5D134140,-118.4509,0903 1218 0416 2036,sherman-oaks,26,101,STREET,984,IC ,Invest Cont,1445,141304,56,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91403
180712818,,Wilshire,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-06-30T00:00:00.000-07:00,2018-06-30T00:00:00.000-07:00,34.0711,200 S LA BREA AV,0101000020E6100000BC74931804965DC0705F07CE19094140,-118.344,0400 0417 0903 2055 1514,hancock-park,119,402,MARKET,727,AO ,Adult Other,0415,214100,47,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90036
180812584,,West LA,624,624,998,,,BATTERY - SIMPLE ASSAULT,,2018-07-01T00:00:00.000-07:00,2018-07-02T00:00:00.000-07:00,34.0405,17700 PACIFIC COAST HY,0101000020E61000004ED1915CFEA35DC077BE9F1A2F054140,-118.5624,0903 0416 0913 0369 0444 0429 1222 1402 2054 1538,pacific-palisades,,117,BEACH,861,AA ,Adult Arrest,2130,262604,18,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90272
192011314,,Olympic,761,761,930,,,BRANDISH WEAPON,,2019-05-28T00:00:00.000-07:00,2019-05-28T00:00:00.000-07:00,34.0728,200 S HOOVER ST,0101000020E61000007CF2B0506B925DC00C93A98251094140,-118.2878,1402 0903 0421 0432 0334 2036 0319,koreatown,53,501,SINGLE FAMILY DWELLING,2019,AA ,Adult Arrest,2100,211122,31,B,M,KITCHEN KNIFE,205,90004
181217853,,77th Street,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-07-06T00:00:00.000-07:00,2018-07-09T00:00:00.000-07:00,33.9774,6900 BONSALLO AV,0101000020E6100000FCA9F1D24D925DC0228E75711BFD4040,-118.286,1402 1300 0319 1405 0903 0329 2055 1516,vermont-slauson,,122,"VEHICLE, PASSENGER/TRUCK",1249,IC ,Invest Cont,2330,237600,0,H,M,,,90044
181218113,,77th Street,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-07-10T00:00:00.000-07:00,2018-07-10T00:00:00.000-07:00,33.9941,5300 CIMARRON ST,0101000020E61000004E62105839945DC0107A36AB3EFF4040,-118.316,0329 0311 0903 2055 1514,vermont-square,81,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1213,IC ,Invest Cont,0815,232500,47,B,M,,,90062
191111343,,Northeast,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-05-31T00:00:00.000-07:00,2019-05-31T00:00:00.000-07:00,34.0909,1100 N MADISON AV,0101000020E6100000E6AE25E483925DC06B9A779CA20B4140,-118.2893,0416 0906 0371 0302 0903 0913 1816,east-hollywood,34,501,SINGLE FAMILY DWELLING,1162,IC ,Invest Cont,2100,191301,51,B,M,REVOLVER,101,90029
181315833,,Newton,330,330,946,,,BURGLARY FROM VEHICLE,TRINITY AV,2018-07-18T00:00:00.000-07:00,2018-07-19T00:00:00.000-07:00,34.0186,31ST ST,0101000020E610000005A3923A01915DC051DA1B7C61024140,-118.2657,1607 0344 0352 0903 0329 0311 1218 1202 2055 1514,historic-south-central,78,101,STREET,1333,IC ,Invest Cont,0900,226700,86,B,M,,,90011
180713752,,Wilshire,624,624,,,,BATTERY - SIMPLE ASSAULT,FAIRFAX,2018-07-20T00:00:00.000-07:00,2018-07-20T00:00:00.000-07:00,34.0678,5TH ST,0101000020E61000009031772D21975DC09B559FABAD084140,-118.3614,0903 0400 0416 0444 1414 0342 2054 1536,mid-wilshire,58,101,STREET,732,IC ,Invest Cont,0125,214700,51,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90036
180713753,,Wilshire,624,624,,,,BATTERY - SIMPLE ASSAULT,FAIRFAX,2018-07-20T00:00:00.000-07:00,2018-07-20T00:00:00.000-07:00,34.0678,5TH ST,0101000020E61000009031772D21975DC09B559FABAD084140,-118.3614,0342 0903 0400 0416 0444 1414 2054 1536,mid-wilshire,58,101,STREET,732,IC ,Invest Cont,0125,214700,23,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90036
190510941,,Harbor,928,928,,,,THREATENING PHONE CALLS/LETTERS,,2019-06-05T00:00:00.000-07:00,2019-06-06T00:00:00.000-07:00,33.7306,1500 S CABRILLO AV,0101000020E6100000B459F5B9DA925DC0933A014D84DD4040,-118.2946,2055 1513 0903,san-pedro,95,720,JUNIOR HIGH SCHOOL,563,IC ,Invest Cont,0915,296901,47,A,M,,,90731
181914806,,Mission,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-07-23T00:00:00.000-07:00,2018-07-24T00:00:00.000-07:00,34.3089,13300 GLENOAKS BL,0101000020E610000044696FF0859D5DC001DE02098A274140,-118.4613,0329 0903 2055 1517,sylmar,5,501,SINGLE FAMILY DWELLING,1913,IC ,Invest Cont,2100,106520,43,H,M,,,91342
181416879,,Pacific,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-07-25T00:00:00.000-07:00,2018-07-25T00:00:00.000-07:00,33.9943,800 MILWOOD AV,0101000020E6100000840D4FAF949D5DC0D734EF3845FF4040,-118.4622,0329 0903 2055 1516,venice,68,101,STREET,1432,IC ,Invest Cont,1255,273600,56,H,M,,,90291
180513700,,Harbor,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-07-25T00:00:00.000-07:00,2018-07-25T00:00:00.000-07:00,33.8698,700 W 182ND ST,0101000020E6100000984C158C4A925DC0C8073D9B55EF4040,-118.2858,0416 0432 1202 2036 0903 2055 1516,harbor-gateway,91,102,SIDEWALK,501,IC ,Invest Cont,0730,291300,60,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90248
180400638,,Hollenbeck,230,230,946,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2018-02-03T00:00:00.000-08:00,2018-02-09T00:00:00.000-08:00,34.0563,1200 N SOTO ST,0101000020E61000004D158C4AEA8C5DC0E561A1D634074140,-118.2018,0342 1309 0400 0416 0305 0903 0417 0429 2054 1536,boyle-heights,47,301,GAS STATION,443,IC ,Invest Cont,2315,203710,30,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90033
180120399,,Central,210,210,,,,ROBBERY,FIGUEROA,2018-08-02T00:00:00.000-07:00,2018-08-03T00:00:00.000-07:00,34.0494,7TH ST,0101000020E6100000BF0E9C33A2905DC011363CBD52064140,-118.2599,0903 0344 1822 0416 0446 0342 0432 1206 2054 1536,downtown,52,101,STREET,151,IC ,Invest Cont,0200,207710,27,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90017
180915772,,Van Nuys,930,930,946,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-08-10T00:00:00.000-07:00,2018-08-10T00:00:00.000-07:00,34.1827,6200 SYLMAR AV,0101000020E61000007F6ABC74939C5DC0567DAEB662174140,-118.4465,0319 0421 0903 1236 2004 2055 1514,van-nuys,20,726,POLICE FACILITY,935,AA ,Adult Arrest,1230,128210,25,B,F,VERBAL THREAT,511,91401
190613689,,Hollywood,740,740,946,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-06-14T00:00:00.000-07:00,2019-06-16T00:00:00.000-07:00,34.1198,2700 NICHOLS CANYON RD,0101000020E610000026E4839ECD965DC0C8073D9B550F4140,-118.3563,0329 0903,hollywood-hills-west,29,501,SINGLE FAMILY DWELLING,622,IC ,Invest Cont,2100,194102,54,W,M,,,90046
181317359,,Newton,624,624,,,,BATTERY - SIMPLE ASSAULT,AVALON BL,2018-08-14T00:00:00.000-07:00,2018-08-14T00:00:00.000-07:00,33.9933,54TH ST,0101000020E61000008CB96B09F9905DC0F38E537424FF4040,-118.2652,0910 0305 0446 0416 2035 2050 2051 0903 2055 1514,south-park,125,801,MTA BUS,1373,IC ,Invest Cont,2055,229410,52,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90011
190411046,,Hollenbeck,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-06-14T00:00:00.000-07:00,2019-06-14T00:00:00.000-07:00,34.0762,2600 N BROADWAY,0101000020E61000006F8104C58F8D5DC044FAEDEBC0094140,-118.2119,0445 0903 2056 1516 0319 1257,lincoln-heights,47,101,STREET,415,AA ,Adult Arrest,0910,199201,4,H,F,UNKNOWN WEAPON/OTHER WEAPON,500,90031
190411043,,Hollenbeck,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-06-14T00:00:00.000-07:00,2019-06-14T00:00:00.000-07:00,34.0762,2600 N BROADWAY,0101000020E61000006F8104C58F8D5DC044FAEDEBC0094140,-118.2119,0445 0903 2056 1516 0319,lincoln-heights,47,101,STREET,415,AA ,Adult Arrest,0910,199201,7,H,F,UNKNOWN WEAPON/OTHER WEAPON,500,90031
190411044,,Hollenbeck,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-06-14T00:00:00.000-07:00,2019-06-14T00:00:00.000-07:00,34.0762,2600 N BROADWAY,0101000020E61000006F8104C58F8D5DC044FAEDEBC0094140,-118.2119,0445 0903 2056 1516 0319 1258,lincoln-heights,47,101,STREET,415,AA ,Adult Arrest,0910,199201,6,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,90031
190315015,,Southwest,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",FIGUEROA,2019-06-16T00:00:00.000-07:00,2019-06-17T00:00:00.000-07:00,34.0037,VERNON,0101000020E610000012A5BDC117925DC0637FD93D79004140,-118.2827,0903 2055 1514 1309 0416 0319,vermont-square,109,101,STREET,398,IC ,Invest Cont,2240,231720,22,B,F,VEHICLE,307,90037
180715749,,Wilshire,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-08-28T00:00:00.000-07:00,2018-08-28T00:00:00.000-07:00,34.0496,4700 VENICE BL,0101000020E610000052B81E85EB955DC0D8F0F44A59064140,-118.3425,0319 0421 0903 2055 1520,mid-wilshire,104,101,STREET,765,IC ,Invest Cont,1600,217200,56,W,M,VERBAL THREAT,511,90019
190700732,,Wilshire,624,624,,,,BATTERY - SIMPLE ASSAULT,N VISTA ST,2019-06-17T00:00:00.000-07:00,2019-06-17T00:00:00.000-07:00,34.0836,W MELROSE AV,0101000020E6100000AD69DE718A965DC009F9A067B30A4140,-118.3522,0356 2004 2056 1520 0903,fairfax,58,102,SIDEWALK,702,IC ,Invest Cont,1145,192002,33,W,M,UNKNOWN WEAPON/OTHER WEAPON,500,90046
182119699,,Topanga,745,745,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-11-23T00:00:00.000-08:00,2018-11-26T00:00:00.000-08:00,34.201,7200 OWENSMOUTH AV,0101000020E61000008351499D80A65DC07D3F355EBA194140,-118.6016,0903 0329 0311 2053 1528,canoga-park,13,103,ALLEY,2136,IC ,Invest Cont,1700,134520,23,W,M,,,91303
180414283,,Hollenbeck,740,740,998,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-08-31T00:00:00.000-07:00,2018-08-31T00:00:00.000-07:00,34.0469,2400 E CESAR E CHAVEZ AV,0101000020E610000005A3923A018D5DC05917B7D100064140,-118.2032,0903 0329 1402 2055 1520,boyle-heights,50,710,OTHER PREMISE,457,IC ,Invest Cont,2233,203720,0,X,M,BOTTLE,212,90033
180123018,,Central,761,761,998,,,BRANDISH WEAPON,,2018-09-04T00:00:00.000-07:00,2018-09-04T00:00:00.000-07:00,34.0509,600 S FIGUEROA ST,0101000020E6100000068195438B905DC0E6AE25E483064140,-118.2585,1402 0334 0432 0319 0910 1212 0903 2055 1514,downtown,52,940,MTA - EXPO LINE - 7TH AND METRO CENTER,152,IC ,Invest Cont,1440,207710,0,B,M,KNIFE WITH BLADE 6INCHES OR LESS,200,90071
180218567,,Rampart,946,946,,,,OTHER MISCELLANEOUS CRIME,CORONADO,2018-09-05T00:00:00.000-07:00,2018-09-05T00:00:00.000-07:00,34.0591,7TH,0101000020E610000012A5BDC117925DC0C898BB9690074140,-118.2827,1239 0903 1822 0319 0417 0444 2058 1510,westlake,54,102,SIDEWALK,261,IC ,Invest Cont,0115,209401,35,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90057
191114157,,Northeast,624,624,,,,BATTERY - SIMPLE ASSAULT,AVENUE 31,2019-07-26T00:00:00.000-07:00,2019-07-26T00:00:00.000-07:00,34.1078,EAGLE ROCK BL,0101000020E6100000E561A1D6348F5DC02041F163CC0D4140,-118.2376,2004 0345 0903 2036,glassell-park,39,101,STREET,1134,IC ,Invest Cont,0830,186404,61,W,M,UNKNOWN WEAPON/OTHER WEAPON,500,90065
180720604,,Wilshire,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-11-28T00:00:00.000-08:00,2018-12-02T00:00:00.000-08:00,34.0724,8200 W 3RD ST,0101000020E6100000B30C71AC8B975DC07E1D386744094140,-118.3679,0329 1414 0903 2053 1528,beverly-grove,58,102,SIDEWALK,723,IC ,Invest Cont,1800,214600,0,W,M,,,90048
190315352,,Southwest,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HILLCREST,2019-06-22T00:00:00.000-07:00,2019-06-22T00:00:00.000-07:00,34.0163,MARTIN LUTHER KING JR,0101000020E61000006EA301BC05965DC060764F1E16024140,-118.3441,1822 0334 0903 2036 2055 0400 1309 1516,baldwin-hillscrenshaw,79,101,STREET,362,IC ,Invest Cont,1020,236203,31,H,M,SCREWDRIVER,219,90008
180716612,,Wilshire,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-09-14T00:00:00.000-07:00,2018-09-14T00:00:00.000-07:00,34.0634,6300 WILSHIRE BL,0101000020E610000008AC1C5A64975DC08048BF7D1D084140,-118.3655,0421 0903 2055 1513,carthay,58,203,OTHER BUSINESS,742,IC ,Invest Cont,1450,216300,41,O,M,VERBAL THREAT,511,90048
181319219,,Newton,624,624,903,,,BATTERY - SIMPLE ASSAULT,HOOPER AV,2018-09-15T00:00:00.000-07:00,2018-09-15T00:00:00.000-07:00,33.9948,53RD ST,0101000020E610000095D4096822905DC0C8073D9B55FF4040,-118.2521,0416 0319 0903 0216 1019 2058 1510,central-alameda,110,102,SIDEWALK,1375,IC ,Invest Cont,0300,229100,22,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90011
181518043,,N Hollywood,624,624,946,,,BATTERY - SIMPLE ASSAULT,,2018-09-18T00:00:00.000-07:00,2018-09-18T00:00:00.000-07:00,34.1758,11100 BURBANK BL,0101000020E610000039454772F9975DC08351499D80164140,-118.3746,1822 1218 0400 0447 0903 2035 2055 1516,north-hollywood,24,108,PARKING LOT,1538,IC ,Invest Cont,0615,124203,35,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91601
190116753,,Central,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-06-24T00:00:00.000-07:00,2019-06-24T00:00:00.000-07:00,34.0483,700 S FIGUEROA ST,0101000020E6100000F7E461A1D6905DC0CA32C4B12E064140,-118.2631,1906 1912 0903 0421 1228 2058 1510,downtown,52,406,OTHER STORE,161,IC ,Invest Cont,1834,207710,19,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,90017
182117250,,Topanga,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-09-28T00:00:00.000-07:00,2018-10-04T00:00:00.000-07:00,34.1929,24000 WELBY WY,0101000020E61000002FDD240681A95DC0FFB27BF2B0184140,-118.6485,0903 0329 2053 1528,west-hills,11,501,SINGLE FAMILY DWELLING,2141,IC ,Invest Cont,0930,135203,81,W,F,,,91307
